data;
param n := 100;
param capacity := 1157;
param: V : weight valeur :=
  1 16 39
  2 7 93
  3 26 62
  4 10 12
  5 5 3
  6 26 71
  7 19 98
  8 4 29
  9 34 69
  10 24 36
  11 50 23
  12 7 34
  13 14 4
  14 42 34
  15 18 25
  16 11 40
  17 19 81
  18 47 48
  19 6 78
  20 22 86
  21 25 65
  22 16 23
  23 16 61
  24 18 12
  25 36 39
  26 1 38
  27 37 91
  28 20 98
  29 33 25
  30 27 55
  31 39 37
  32 28 58
  33 11 30
  34 20 34
  35 3 11
  36 3 60
  37 41 36
  38 34 69
  39 42 61
  40 45 44
  41 10 87
  42 13 9
  43 27 26
  44 41 81
  45 29 36
  46 12 46
  47 28 96
  48 38 42
  49 41 72
  50 13 42
  51 7 8
  52 46 30
  53 18 98
  54 38 79
  55 16 16
  56 22 23
  57 19 59
  58 2 6
  59 23 90
  60 6 37
  61 48 87
  62 21 3
  63 21 37
  64 21 20
  65 50 84
  66 27 80
  67 44 10
  68 19 80
  69 13 57
  70 19 18
  71 17 49
  72 39 21
  73 22 74
  74 1 47
  75 3 59
  76 11 47
  77 24 38
  78 37 13
  79 29 27
  80 28 27
  81 8 8
  82 4 8
  83 48 22
  84 39 87
  85 10 78
  86 3 70
  87 32 75
  88 16 42
  89 3 16
  90 34 38
  91 50 53
  92 42 26
  93 31 26
  94 16 57
  95 27 63
  96 3 29
  97 27 57
  98 16 83
  99 28 28
  100 32 25;
end;
