data;
param n := 100;
param capacity := 1320;
param: V : weight valeur :=
  1 37 11
  2 32 98
  3 17 5
  4 1 19
  5 43 76
  6 31 98
  7 48 48
  8 21 99
  9 2 35
  10 32 26
  11 47 53
  12 35 70
  13 44 13
  14 13 73
  15 36 90
  16 47 34
  17 43 79
  18 44 12
  19 28 43
  20 6 47
  21 27 33
  22 29 90
  23 7 97
  24 13 90
  25 41 38
  26 7 6
  27 38 26
  28 42 47
  29 32 25
  30 33 74
  31 42 90
  32 33 4
  33 41 47
  34 16 78
  35 28 39
  36 23 76
  37 8 12
  38 33 87
  39 34 26
  40 8 78
  41 43 35
  42 20 93
  43 13 49
  44 31 29
  45 9 77
  46 14 90
  47 34 2
  48 13 100
  49 11 3
  50 42 43
  51 36 86
  52 40 80
  53 20 48
  54 25 68
  55 25 38
  56 9 87
  57 32 7
  58 12 55
  59 39 96
  60 26 13
  61 29 32
  62 6 78
  63 43 58
  64 29 49
  65 5 67
  66 28 61
  67 20 91
  68 27 11
  69 13 96
  70 44 35
  71 29 63
  72 47 23
  73 2 3
  74 35 16
  75 17 76
  76 24 25
  77 17 65
  78 29 43
  79 34 33
  80 27 54
  81 40 63
  82 18 78
  83 31 85
  84 31 63
  85 10 93
  86 25 64
  87 20 82
  88 30 42
  89 24 85
  90 11 80
  91 25 89
  92 39 35
  93 21 83
  94 26 63
  95 47 21
  96 19 72
  97 1 80
  98 29 8
  99 12 4
  100 40 100;
end;
