data;
param n := 100;
param capacity := 1202;
param: V : weight valeur :=
  1 40 33
  2 48 46
  3 45 95
  4 42 68
  5 2 60
  6 50 32
  7 42 7
  8 11 15
  9 24 61
  10 16 49
  11 35 14
  12 37 32
  13 1 94
  14 14 53
  15 18 24
  16 50 50
  17 11 98
  18 5 18
  19 40 80
  20 29 17
  21 9 1
  22 1 27
  23 50 28
  24 11 22
  25 19 41
  26 13 70
  27 44 81
  28 14 24
  29 45 26
  30 25 39
  31 2 47
  32 27 22
  33 10 34
  34 5 43
  35 20 78
  36 38 1
  37 39 87
  38 46 44
  39 5 40
  40 23 40
  41 31 90
  42 21 24
  43 31 61
  44 46 23
  45 4 33
  46 2 96
  47 23 52
  48 2 71
  49 27 47
  50 25 75
  51 1 58
  52 3 91
  53 12 80
  54 13 16
  55 49 32
  56 30 45
  57 33 46
  58 34 33
  59 50 60
  60 7 76
  61 48 100
  62 24 38
  63 3 56
  64 6 27
  65 22 66
  66 40 47
  67 10 44
  68 18 90
  69 35 12
  70 20 88
  71 21 40
  72 12 11
  73 41 20
  74 47 89
  75 20 62
  76 11 93
  77 4 11
  78 39 69
  79 26 5
  80 16 95
  81 39 45
  82 17 59
  83 42 54
  84 10 8
  85 41 5
  86 32 43
  87 14 17
  88 47 73
  89 9 81
  90 27 14
  91 11 56
  92 24 20
  93 4 54
  94 19 19
  95 30 80
  96 11 67
  97 30 63
  98 45 94
  99 21 62
  100 18 38;
end;
